family,case_id,task,method,accepted,true_legal_certificate,unsafe_false_certificate,missed_true_sfc,geometric_feasible,oracle_sfc_feasible,quality,num_contacts,num_true_allowed,num_observed_allowed,density,allowed_sparsity,trap_strength,friction_band,facets,role_error_rate,confidence_mode,risk_threshold,topk_budget,control,condition,seed
D,D_00001,knife_pass,geometric_fc,1,0,1,0,1,0,0.03818914,12,6,-1,medium,medium,0.55,low,2,,,,,,friction_model,424025
D,D_00001,knife_pass,oracle_sfc,0,0,0,0,1,0,0.0,12,6,-1,medium,medium,0.55,low,2,,,,,,friction_model,424025
D,D_00001,knife_pass,semantic_only,1,0,1,0,1,0,0.0,12,6,-1,medium,medium,0.55,low,2,,,,,,friction_model,424025
D,D_00001,knife_pass,posthoc_single,0,0,0,0,1,0,0.03818914,12,6,-1,medium,medium,0.55,low,2,,,,,,friction_model,424025
D,D_00001,knife_pass,soft_penalty_fc,1,0,1,0,1,0,0.03818914,12,6,-1,medium,medium,0.55,low,2,,,,,,friction_model,424025
D,D_00002,knife_pass,geometric_fc,1,0,1,0,1,0,0.03965878,12,6,-1,medium,medium,0.55,low,2,,,,,,friction_model,424026
D,D_00002,knife_pass,oracle_sfc,0,0,0,0,1,0,0.0,12,6,-1,medium,medium,0.55,low,2,,,,,,friction_model,424026
D,D_00002,knife_pass,semantic_only,1,0,1,0,1,0,0.0,12,6,-1,medium,medium,0.55,low,2,,,,,,friction_model,424026
D,D_00002,knife_pass,posthoc_single,0,0,0,0,1,0,0.03965878,12,6,-1,medium,medium,0.55,low,2,,,,,,friction_model,424026
D,D_00002,knife_pass,soft_penalty_fc,1,0,1,0,1,0,0.03965878,12,6,-1,medium,medium,0.55,low,2,,,,,,friction_model,424026
D,D_00003,knife_pass,geometric_fc,1,0,1,0,1,0,0.03799343,12,6,-1,medium,medium,0.55,low,2,,,,,,friction_model,424027
D,D_00003,knife_pass,oracle_sfc,0,0,0,0,1,0,0.0,12,6,-1,medium,medium,0.55,low,2,,,,,,friction_model,424027
D,D_00003,knife_pass,semantic_only,1,0,1,0,1,0,0.0,12,6,-1,medium,medium,0.55,low,2,,,,,,friction_model,424027
D,D_00003,knife_pass,posthoc_single,0,0,0,0,1,0,0.03799343,12,6,-1,medium,medium,0.55,low,2,,,,,,friction_model,424027
D,D_00003,knife_pass,soft_penalty_fc,1,0,1,0,1,0,0.03799343,12,6,-1,medium,medium,0.55,low,2,,,,,,friction_model,424027
D,D_00004,knife_pass,geometric_fc,1,0,1,0,1,0,0.03907096,12,6,-1,medium,medium,0.55,low,2,,,,,,friction_model,424028
D,D_00004,knife_pass,oracle_sfc,0,0,0,0,1,0,0.0,12,6,-1,medium,medium,0.55,low,2,,,,,,friction_model,424028
D,D_00004,knife_pass,semantic_only,1,0,1,0,1,0,0.0,12,6,-1,medium,medium,0.55,low,2,,,,,,friction_model,424028
D,D_00004,knife_pass,posthoc_single,0,0,0,0,1,0,0.03907096,12,6,-1,medium,medium,0.55,low,2,,,,,,friction_model,424028
D,D_00004,knife_pass,soft_penalty_fc,1,0,1,0,1,0,0.03907096,12,6,-1,medium,medium,0.55,low,2,,,,,,friction_model,424028
D,D_00005,knife_pass,geometric_fc,1,0,1,0,1,0,0.03496683,12,6,-1,medium,medium,0.55,low,2,,,,,,friction_model,424029
D,D_00005,knife_pass,oracle_sfc,0,0,0,0,1,0,0.0,12,6,-1,medium,medium,0.55,low,2,,,,,,friction_model,424029
D,D_00005,knife_pass,semantic_only,1,0,1,0,1,0,0.0,12,6,-1,medium,medium,0.55,low,2,,,,,,friction_model,424029
D,D_00005,knife_pass,posthoc_single,0,0,0,0,1,0,0.03496683,12,6,-1,medium,medium,0.55,low,2,,,,,,friction_model,424029
D,D_00005,knife_pass,soft_penalty_fc,1,0,1,0,1,0,0.03496683,12,6,-1,medium,medium,0.55,low,2,,,,,,friction_model,424029
D,D_00006,knife_pass,geometric_fc,1,0,1,0,1,0,0.03967893,12,6,-1,medium,medium,0.55,low,2,,,,,,friction_model,424030
D,D_00006,knife_pass,oracle_sfc,0,0,0,0,1,0,0.0,12,6,-1,medium,medium,0.55,low,2,,,,,,friction_model,424030
