topk_budget,method,rows,accepted_rate,true_legal_rate,unsafe_rate,missed_true_sfc_rate,geometric_feasible_rate,oracle_sfc_feasible_rate,mean_quality_when_feasible
1,geometric_fc,288,1.0,0.0,1.0,0.4306,1.0,0.4306,0.04538
1,oracle_sfc,288,0.4306,0.4306,0.0,0.0,1.0,0.4306,0.061191
1,posthoc_single,288,0.0,0.0,0.0,0.4306,1.0,0.4306,0.04538
1,semantic_only,288,1.0,0.4306,0.5694,0.0,1.0,0.4306,0.0
1,soft_penalty_fc,288,1.0,0.0,1.0,0.4306,1.0,0.4306,0.04538
1,topk_posthoc,288,0.0,0.0,0.0,0.4306,1.0,0.4306,0.0
16,geometric_fc,288,1.0,0.0,1.0,0.375,1.0,0.375,0.045381
16,oracle_sfc,288,0.375,0.375,0.0,0.0,1.0,0.375,0.072559
16,posthoc_single,288,0.0,0.0,0.0,0.375,1.0,0.375,0.045381
16,semantic_only,288,1.0,0.375,0.625,0.0,1.0,0.375,0.0
16,soft_penalty_fc,288,1.0,0.0,1.0,0.375,1.0,0.375,0.045381
16,topk_posthoc,288,0.375,0.375,0.0,0.0,1.0,0.375,0.072559
2,topk_posthoc,288,0.0764,0.0764,0.0,0.316,1.0,0.3924,0.060651
4,topk_posthoc,288,0.2153,0.2153,0.0,0.2222,1.0,0.4375,0.057726
8,topk_posthoc,288,0.2812,0.2812,0.0,0.1215,1.0,0.4028,0.066632
