family,case_id,task,method,accepted,true_legal_certificate,unsafe_false_certificate,missed_true_sfc,geometric_feasible,oracle_sfc_feasible,quality,num_contacts,num_true_allowed,num_observed_allowed,density,allowed_sparsity,trap_strength,friction_band,facets,role_error_rate,confidence_mode,risk_threshold,topk_budget,control,condition,seed
C,C_00001,knife_pass,topk_posthoc,0,0,0,0,1,0,0.0,9,3,-1,medium,high,0.25,medium,2,,,,1,,witness_ordering,324025
C,C_00001_base,knife_pass,geometric_fc,1,0,1,0,1,0,0.045088,9,3,-1,medium,high,0.25,medium,2,,,,1,,witness_ordering,324025
C,C_00001_base,knife_pass,oracle_sfc,0,0,0,0,1,0,0.0,9,3,-1,medium,high,0.25,medium,2,,,,1,,witness_ordering,324025
C,C_00001_base,knife_pass,semantic_only,1,0,1,0,1,0,0.0,9,3,-1,medium,high,0.25,medium,2,,,,1,,witness_ordering,324025
C,C_00001_base,knife_pass,posthoc_single,0,0,0,0,1,0,0.045088,9,3,-1,medium,high,0.25,medium,2,,,,1,,witness_ordering,324025
C,C_00001_base,knife_pass,soft_penalty_fc,1,0,1,0,1,0,0.045088,9,3,-1,medium,high,0.25,medium,2,,,,1,,witness_ordering,324025
C,C_00002,knife_pass,topk_posthoc,0,0,0,0,1,0,0.0,9,3,-1,medium,high,0.25,medium,2,,,,1,,witness_ordering,324026
C,C_00002_base,knife_pass,geometric_fc,1,0,1,0,1,0,0.04453392,9,3,-1,medium,high,0.25,medium,2,,,,1,,witness_ordering,324026
C,C_00002_base,knife_pass,oracle_sfc,0,0,0,0,1,0,0.0,9,3,-1,medium,high,0.25,medium,2,,,,1,,witness_ordering,324026
C,C_00002_base,knife_pass,semantic_only,1,0,1,0,1,0,0.0,9,3,-1,medium,high,0.25,medium,2,,,,1,,witness_ordering,324026
C,C_00002_base,knife_pass,posthoc_single,0,0,0,0,1,0,0.04453392,9,3,-1,medium,high,0.25,medium,2,,,,1,,witness_ordering,324026
C,C_00002_base,knife_pass,soft_penalty_fc,1,0,1,0,1,0,0.04453392,9,3,-1,medium,high,0.25,medium,2,,,,1,,witness_ordering,324026
C,C_00003,knife_pass,topk_posthoc,0,0,0,0,1,0,0.0,9,3,-1,medium,high,0.25,medium,2,,,,1,,witness_ordering,324027
C,C_00003_base,knife_pass,geometric_fc,1,0,1,0,1,0,0.04365852,9,3,-1,medium,high,0.25,medium,2,,,,1,,witness_ordering,324027
C,C_00003_base,knife_pass,oracle_sfc,0,0,0,0,1,0,0.0,9,3,-1,medium,high,0.25,medium,2,,,,1,,witness_ordering,324027
C,C_00003_base,knife_pass,semantic_only,1,0,1,0,1,0,0.0,9,3,-1,medium,high,0.25,medium,2,,,,1,,witness_ordering,324027
C,C_00003_base,knife_pass,posthoc_single,0,0,0,0,1,0,0.04365852,9,3,-1,medium,high,0.25,medium,2,,,,1,,witness_ordering,324027
C,C_00003_base,knife_pass,soft_penalty_fc,1,0,1,0,1,0,0.04365852,9,3,-1,medium,high,0.25,medium,2,,,,1,,witness_ordering,324027
C,C_00004,knife_pass,topk_posthoc,0,0,0,0,1,0,0.0,9,3,-1,medium,high,0.25,medium,2,,,,1,,witness_ordering,324028
C,C_00004_base,knife_pass,geometric_fc,1,0,1,0,1,0,0.04420882,9,3,-1,medium,high,0.25,medium,2,,,,1,,witness_ordering,324028
C,C_00004_base,knife_pass,oracle_sfc,0,0,0,0,1,0,0.0,9,3,-1,medium,high,0.25,medium,2,,,,1,,witness_ordering,324028
C,C_00004_base,knife_pass,semantic_only,1,0,1,0,1,0,0.0,9,3,-1,medium,high,0.25,medium,2,,,,1,,witness_ordering,324028
C,C_00004_base,knife_pass,posthoc_single,0,0,0,0,1,0,0.04420882,9,3,-1,medium,high,0.25,medium,2,,,,1,,witness_ordering,324028
C,C_00004_base,knife_pass,soft_penalty_fc,1,0,1,0,1,0,0.04420882,9,3,-1,medium,high,0.25,medium,2,,,,1,,witness_ordering,324028
C,C_00005,knife_pass,topk_posthoc,0,0,0,0,1,0,0.0,9,3,-1,medium,high,0.25,medium,2,,,,1,,witness_ordering,324029
C,C_00005_base,knife_pass,geometric_fc,1,0,1,0,1,0,0.04260513,9,3,-1,medium,high,0.25,medium,2,,,,1,,witness_ordering,324029
C,C_00005_base,knife_pass,oracle_sfc,0,0,0,0,1,0,0.0,9,3,-1,medium,high,0.25,medium,2,,,,1,,witness_ordering,324029
C,C_00005_base,knife_pass,semantic_only,1,0,1,0,1,0,0.0,9,3,-1,medium,high,0.25,medium,2,,,,1,,witness_ordering,324029
C,C_00005_base,knife_pass,posthoc_single,0,0,0,0,1,0,0.04260513,9,3,-1,medium,high,0.25,medium,2,,,,1,,witness_ordering,324029
C,C_00005_base,knife_pass,soft_penalty_fc,1,0,1,0,1,0,0.04260513,9,3,-1,medium,high,0.25,medium,2,,,,1,,witness_ordering,324029
C,C_00006,knife_pass,topk_posthoc,0,0,0,0,1,0,0.0,9,3,-1,medium,high,0.25,medium,2,,,,1,,witness_ordering,324030
C,C_00006_base,knife_pass,geometric_fc,1,0,1,0,1,0,0.04418606,9,3,-1,medium,high,0.25,medium,2,,,,1,,witness_ordering,324030
C,C_00006_base,knife_pass,oracle_sfc,0,0,0,0,1,0,0.0,9,3,-1,medium,high,0.25,medium,2,,,,1,,witness_ordering,324030
C,C_00006_base,knife_pass,semantic_only,1,0,1,0,1,0,0.0,9,3,-1,medium,high,0.25,medium,2,,,,1,,witness_ordering,324030
C,C_00006_base,knife_pass,posthoc_single,0,0,0,0,1,0,0.04418606,9,3,-1,medium,high,0.25,medium,2,,,,1,,witness_ordering,324030
C,C_00006_base,knife_pass,soft_penalty_fc,1,0,1,0,1,0,0.04418606,9,3,-1,medium,high,0.25,medium,2,,,,1,,witness_ordering,324030
C,C_00007,knife_pass,topk_posthoc,0,0,0,0,1,0,0.0,9,3,-1,medium,high,0.25,medium,2,,,,1,,witness_ordering,324031
C,C_00007_base,knife_pass,geometric_fc,1,0,1,0,1,0,0.04543925,9,3,-1,medium,high,0.25,medium,2,,,,1,,witness_ordering,324031
C,C_00007_base,knife_pass,oracle_sfc,0,0,0,0,1,0,0.0,9,3,-1,medium,high,0.25,medium,2,,,,1,,witness_ordering,324031
C,C_00007_base,knife_pass,semantic_only,1,0,1,0,1,0,0.0,9,3,-1,medium,high,0.25,medium,2,,,,1,,witness_ordering,324031
C,C_00007_base,knife_pass,posthoc_single,0,0,0,0,1,0,0.04543925,9,3,-1,medium,high,0.25,medium,2,,,,1,,witness_ordering,324031
C,C_00007_base,knife_pass,soft_penalty_fc,1,0,1,0,1,0,0.04543925,9,3,-1,medium,high,0.25,medium,2,,,,1,,witness_ordering,324031
C,C_00008,knife_pass,topk_posthoc,0,0,0,0,1,0,0.0,9,3,-1,medium,high,0.25,medium,2,,,,1,,witness_ordering,324032
C,C_00008_base,knife_pass,geometric_fc,1,0,1,0,1,0,0.04461641,9,3,-1,medium,high,0.25,medium,2,,,,1,,witness_ordering,324032
C,C_00008_base,knife_pass,oracle_sfc,0,0,0,0,1,0,0.0,9,3,-1,medium,high,0.25,medium,2,,,,1,,witness_ordering,324032
C,C_00008_base,knife_pass,semantic_only,1,0,1,0,1,0,0.0,9,3,-1,medium,high,0.25,medium,2,,,,1,,witness_ordering,324032
C,C_00008_base,knife_pass,posthoc_single,0,0,0,0,1,0,0.04461641,9,3,-1,medium,high,0.25,medium,2,,,,1,,witness_ordering,324032
C,C_00008_base,knife_pass,soft_penalty_fc,1,0,1,0,1,0,0.04461641,9,3,-1,medium,high,0.25,medium,2,,,,1,,witness_ordering,324032
C,C_00009,knife_pass,topk_posthoc,0,0,0,0,1,0,0.0,9,3,-1,medium,high,0.25,medium,2,,,,1,,witness_ordering,324033
C,C_00009_base,knife_pass,geometric_fc,1,0,1,0,1,0,0.04316721,9,3,-1,medium,high,0.25,medium,2,,,,1,,witness_ordering,324033
C,C_00009_base,knife_pass,oracle_sfc,0,0,0,0,1,0,0.0,9,3,-1,medium,high,0.25,medium,2,,,,1,,witness_ordering,324033
C,C_00009_base,knife_pass,semantic_only,1,0,1,0,1,0,0.0,9,3,-1,medium,high,0.25,medium,2,,,,1,,witness_ordering,324033
C,C_00009_base,knife_pass,posthoc_single,0,0,0,0,1,0,0.04316721,9,3,-1,medium,high,0.25,medium,2,,,,1,,witness_ordering,324033
C,C_00009_base,knife_pass,soft_penalty_fc,1,0,1,0,1,0,0.04316721,9,3,-1,medium,high,0.25,medium,2,,,,1,,witness_ordering,324033
C,C_00010,knife_pass,topk_posthoc,0,0,0,0,1,0,0.0,9,3,-1,medium,high,0.25,medium,2,,,,1,,witness_ordering,324034
C,C_00010_base,knife_pass,geometric_fc,1,0,1,0,1,0,0.04454046,9,3,-1,medium,high,0.25,medium,2,,,,1,,witness_ordering,324034
C,C_00010_base,knife_pass,oracle_sfc,0,0,0,0,1,0,0.0,9,3,-1,medium,high,0.25,medium,2,,,,1,,witness_ordering,324034
C,C_00010_base,knife_pass,semantic_only,1,0,1,0,1,0,0.0,9,3,-1,medium,high,0.25,medium,2,,,,1,,witness_ordering,324034
C,C_00010_base,knife_pass,posthoc_single,0,0,0,0,1,0,0.04454046,9,3,-1,medium,high,0.25,medium,2,,,,1,,witness_ordering,324034
C,C_00010_base,knife_pass,soft_penalty_fc,1,0,1,0,1,0,0.04454046,9,3,-1,medium,high,0.25,medium,2,,,,1,,witness_ordering,324034
C,C_00011,knife_pass,topk_posthoc,0,0,0,0,1,0,0.0,9,3,-1,medium,high,0.25,medium,2,,,,1,,witness_ordering,324035
C,C_00011_base,knife_pass,geometric_fc,1,0,1,0,1,0,0.04341581,9,3,-1,medium,high,0.25,medium,2,,,,1,,witness_ordering,324035
C,C_00011_base,knife_pass,oracle_sfc,0,0,0,0,1,0,0.0,9,3,-1,medium,high,0.25,medium,2,,,,1,,witness_ordering,324035
C,C_00011_base,knife_pass,semantic_only,1,0,1,0,1,0,0.0,9,3,-1,medium,high,0.25,medium,2,,,,1,,witness_ordering,324035
C,C_00011_base,knife_pass,posthoc_single,0,0,0,0,1,0,0.04341581,9,3,-1,medium,high,0.25,medium,2,,,,1,,witness_ordering,324035
C,C_00011_base,knife_pass,soft_penalty_fc,1,0,1,0,1,0,0.04341581,9,3,-1,medium,high,0.25,medium,2,,,,1,,witness_ordering,324035
C,C_00012,knife_pass,topk_posthoc,0,0,0,0,1,0,0.0,9,3,-1,medium,high,0.25,medium,2,,,,1,,witness_ordering,324036
C,C_00012_base,knife_pass,geometric_fc,1,0,1,0,1,0,0.04316751,9,3,-1,medium,high,0.25,medium,2,,,,1,,witness_ordering,324036
C,C_00012_base,knife_pass,oracle_sfc,0,0,0,0,1,0,0.0,9,3,-1,medium,high,0.25,medium,2,,,,1,,witness_ordering,324036
C,C_00012_base,knife_pass,semantic_only,1,0,1,0,1,0,0.0,9,3,-1,medium,high,0.25,medium,2,,,,1,,witness_ordering,324036
C,C_00012_base,knife_pass,posthoc_single,0,0,0,0,1,0,0.04316751,9,3,-1,medium,high,0.25,medium,2,,,,1,,witness_ordering,324036
C,C_00012_base,knife_pass,soft_penalty_fc,1,0,1,0,1,0,0.04316751,9,3,-1,medium,high,0.25,medium,2,,,,1,,witness_ordering,324036
C,C_00013,knife_pass,topk_posthoc,0,0,0,0,1,0,0.0,9,3,-1,medium,high,0.25,medium,2,,,,2,,witness_ordering,324037
C,C_00014,knife_pass,topk_posthoc,0,0,0,0,1,0,0.0,9,3,-1,medium,high,0.25,medium,2,,,,2,,witness_ordering,324038
C,C_00015,knife_pass,topk_posthoc,0,0,0,0,1,0,0.0,9,3,-1,medium,high,0.25,medium,2,,,,2,,witness_ordering,324039
C,C_00016,knife_pass,topk_posthoc,0,0,0,0,1,0,0.0,9,3,-1,medium,high,0.25,medium,2,,,,2,,witness_ordering,324040
C,C_00017,knife_pass,topk_posthoc,0,0,0,0,1,0,0.0,9,3,-1,medium,high,0.25,medium,2,,,,2,,witness_ordering,324041
C,C_00018,knife_pass,topk_posthoc,0,0,0,0,1,0,0.0,9,3,-1,medium,high,0.25,medium,2,,,,2,,witness_ordering,324042
C,C_00019,knife_pass,topk_posthoc,0,0,0,0,1,0,0.0,9,3,-1,medium,high,0.25,medium,2,,,,2,,witness_ordering,324043
C,C_00020,knife_pass,topk_posthoc,0,0,0,0,1,0,0.0,9,3,-1,medium,high,0.25,medium,2,,,,2,,witness_ordering,324044
C,C_00021,knife_pass,topk_posthoc,0,0,0,0,1,0,0.0,9,3,-1,medium,high,0.25,medium,2,,,,2,,witness_ordering,324045
C,C_00022,knife_pass,topk_posthoc,0,0,0,0,1,0,0.0,9,3,-1,medium,high,0.25,medium,2,,,,2,,witness_ordering,324046
C,C_00023,knife_pass,topk_posthoc,0,0,0,0,1,0,0.0,9,3,-1,medium,high,0.25,medium,2,,,,2,,witness_ordering,324047
C,C_00024,knife_pass,topk_posthoc,0,0,0,0,1,0,0.0,9,3,-1,medium,high,0.25,medium,2,,,,2,,witness_ordering,324048
C,C_00025,knife_pass,topk_posthoc,0,0,0,0,1,0,0.0,9,3,-1,medium,high,0.25,medium,2,,,,4,,witness_ordering,324049
C,C_00026,knife_pass,topk_posthoc,0,0,0,0,1,0,0.0,9,3,-1,medium,high,0.25,medium,2,,,,4,,witness_ordering,324050
C,C_00027,knife_pass,topk_posthoc,0,0,0,0,1,0,0.0,9,3,-1,medium,high,0.25,medium,2,,,,4,,witness_ordering,324051
C,C_00028,knife_pass,topk_posthoc,0,0,0,0,1,0,0.0,9,3,-1,medium,high,0.25,medium,2,,,,4,,witness_ordering,324052
