family,case_id,task,method,accepted,true_legal_certificate,unsafe_false_certificate,missed_true_sfc,geometric_feasible,oracle_sfc_feasible,quality,num_contacts,num_true_allowed,num_observed_allowed,density,allowed_sparsity,trap_strength,friction_band,facets,role_error_rate,confidence_mode,risk_threshold,topk_budget,control,condition,seed
E,E_00001,knife_pass,geometric_fc,1,0,1,0,1,0,0.0405636,12,6,-1,medium,medium,0.25,medium,2,,,,,,ablation,524025
E,E_00001,knife_pass,oracle_sfc,0,0,0,0,1,0,0.0,12,6,-1,medium,medium,0.25,medium,2,,,,,,ablation,524025
E,E_00001,knife_pass,semantic_only,1,0,1,0,1,0,0.0,12,6,-1,medium,medium,0.25,medium,2,,,,,,ablation,524025
E,E_00001,knife_pass,posthoc_single,0,0,0,0,1,0,0.0405636,12,6,-1,medium,medium,0.25,medium,2,,,,,,ablation,524025
E,E_00001,knife_pass,soft_penalty_fc,1,0,1,0,1,0,0.0405636,12,6,-1,medium,medium,0.25,medium,2,,,,,,ablation,524025
E,E_00001_obs,knife_pass,delete_noisy_roles,1,0,1,0,1,0,0.03075803,12,6,7,medium,medium,0.25,medium,2,,,,,,ablation,524025
E,E_00001_auditless,knife_pass,auditless_geometric,1,0,1,0,1,0,0.0405636,12,6,7,medium,medium,0.25,medium,2,,,,,,ablation,524025
E,E_00002,knife_pass,geometric_fc,1,0,1,0,1,0,0.03989474,12,6,-1,medium,medium,0.25,medium,2,,,,,,ablation,524026
E,E_00002,knife_pass,oracle_sfc,0,0,0,0,1,0,0.0,12,6,-1,medium,medium,0.25,medium,2,,,,,,ablation,524026
E,E_00002,knife_pass,semantic_only,1,0,1,0,1,0,0.0,12,6,-1,medium,medium,0.25,medium,2,,,,,,ablation,524026
E,E_00002,knife_pass,posthoc_single,0,0,0,0,1,0,0.03989474,12,6,-1,medium,medium,0.25,medium,2,,,,,,ablation,524026
E,E_00002,knife_pass,soft_penalty_fc,1,0,1,0,1,0,0.03989474,12,6,-1,medium,medium,0.25,medium,2,,,,,,ablation,524026
E,E_00002_obs,knife_pass,delete_noisy_roles,0,0,0,0,1,0,0.0,12,6,6,medium,medium,0.25,medium,2,,,,,,ablation,524026
E,E_00002_auditless,knife_pass,auditless_geometric,1,0,1,0,1,0,0.03989474,12,6,6,medium,medium,0.25,medium,2,,,,,,ablation,524026
E,E_00003,knife_pass,geometric_fc,1,0,1,0,1,0,0.04005384,12,6,-1,medium,medium,0.25,medium,2,,,,,,ablation,524027
E,E_00003,knife_pass,oracle_sfc,0,0,0,0,1,0,0.0,12,6,-1,medium,medium,0.25,medium,2,,,,,,ablation,524027
E,E_00003,knife_pass,semantic_only,1,0,1,0,1,0,0.0,12,6,-1,medium,medium,0.25,medium,2,,,,,,ablation,524027
E,E_00003,knife_pass,posthoc_single,0,0,0,0,1,0,0.04005384,12,6,-1,medium,medium,0.25,medium,2,,,,,,ablation,524027
E,E_00003,knife_pass,soft_penalty_fc,1,0,1,0,1,0,0.04005384,12,6,-1,medium,medium,0.25,medium,2,,,,,,ablation,524027
E,E_00003_obs,knife_pass,delete_noisy_roles,1,0,1,0,1,0,0.0327247,12,6,7,medium,medium,0.25,medium,2,,,,,,ablation,524027
E,E_00003_auditless,knife_pass,auditless_geometric,1,0,1,0,1,0,0.04005384,12,6,7,medium,medium,0.25,medium,2,,,,,,ablation,524027
E,E_00004,knife_pass,geometric_fc,1,0,1,0,1,0,0.03873623,12,6,-1,medium,medium,0.25,medium,2,,,,,,ablation,524028
E,E_00004,knife_pass,oracle_sfc,0,0,0,0,1,0,0.0,12,6,-1,medium,medium,0.25,medium,2,,,,,,ablation,524028
E,E_00004,knife_pass,semantic_only,1,0,1,0,1,0,0.0,12,6,-1,medium,medium,0.25,medium,2,,,,,,ablation,524028
E,E_00004,knife_pass,posthoc_single,0,0,0,0,1,0,0.03873623,12,6,-1,medium,medium,0.25,medium,2,,,,,,ablation,524028
E,E_00004,knife_pass,soft_penalty_fc,1,0,1,0,1,0,0.03873623,12,6,-1,medium,medium,0.25,medium,2,,,,,,ablation,524028
E,E_00004_obs,knife_pass,delete_noisy_roles,1,0,1,0,1,0,0.03118085,12,6,7,medium,medium,0.25,medium,2,,,,,,ablation,524028
E,E_00004_auditless,knife_pass,auditless_geometric,1,0,1,0,1,0,0.03873623,12,6,7,medium,medium,0.25,medium,2,,,,,,ablation,524028
E,E_00005,knife_pass,geometric_fc,1,0,1,0,1,0,0.03753558,12,6,-1,medium,medium,0.25,medium,2,,,,,,ablation,524029
E,E_00005,knife_pass,oracle_sfc,0,0,0,0,1,0,0.0,12,6,-1,medium,medium,0.25,medium,2,,,,,,ablation,524029
E,E_00005,knife_pass,semantic_only,1,0,1,0,1,0,0.0,12,6,-1,medium,medium,0.25,medium,2,,,,,,ablation,524029
E,E_00005,knife_pass,posthoc_single,0,0,0,0,1,0,0.03753558,12,6,-1,medium,medium,0.25,medium,2,,,,,,ablation,524029
E,E_00005,knife_pass,soft_penalty_fc,1,0,1,0,1,0,0.03753558,12,6,-1,medium,medium,0.25,medium,2,,,,,,ablation,524029
E,E_00005_obs,knife_pass,delete_noisy_roles,0,0,0,0,1,0,0.0,12,6,5,medium,medium,0.25,medium,2,,,,,,ablation,524029
E,E_00005_auditless,knife_pass,auditless_geometric,1,0,1,0,1,0,0.03753558,12,6,5,medium,medium,0.25,medium,2,,,,,,ablation,524029
E,E_00006,knife_pass,geometric_fc,1,0,1,0,1,0,0.03928639,12,6,-1,medium,medium,0.25,medium,2,,,,,,ablation,524030
E,E_00006,knife_pass,oracle_sfc,0,0,0,0,1,0,0.0,12,6,-1,medium,medium,0.25,medium,2,,,,,,ablation,524030
E,E_00006,knife_pass,semantic_only,1,0,1,0,1,0,0.0,12,6,-1,medium,medium,0.25,medium,2,,,,,,ablation,524030
E,E_00006,knife_pass,posthoc_single,0,0,0,0,1,0,0.03928639,12,6,-1,medium,medium,0.25,medium,2,,,,,,ablation,524030
E,E_00006,knife_pass,soft_penalty_fc,1,0,1,0,1,0,0.03928639,12,6,-1,medium,medium,0.25,medium,2,,,,,,ablation,524030
E,E_00006_obs,knife_pass,delete_noisy_roles,1,0,1,0,1,0,0.04271799,12,6,6,medium,medium,0.25,medium,2,,,,,,ablation,524030
