family,case_id,task,method,accepted,true_legal_certificate,unsafe_false_certificate,missed_true_sfc,geometric_feasible,oracle_sfc_feasible,quality,num_contacts,num_true_allowed,num_observed_allowed,density,allowed_sparsity,trap_strength,friction_band,facets,role_error_rate,confidence_mode,risk_threshold,topk_budget,control,condition,seed
F,F_00001,knife_pass,geometric_fc,1,1,0,0,1,1,0.04012815,12,12,-1,medium,medium,0.55,medium,2,,,,,all_allowed,negative_control,624025
F,F_00001,knife_pass,oracle_sfc,1,1,0,0,1,1,0.04012815,12,12,-1,medium,medium,0.55,medium,2,,,,,all_allowed,negative_control,624025
F,F_00001,knife_pass,semantic_only,1,1,0,0,1,1,0.0,12,12,-1,medium,medium,0.55,medium,2,,,,,all_allowed,negative_control,624025
F,F_00001,knife_pass,posthoc_single,1,1,0,0,1,1,0.04012815,12,12,-1,medium,medium,0.55,medium,2,,,,,all_allowed,negative_control,624025
F,F_00001,knife_pass,soft_penalty_fc,1,1,0,0,1,1,0.04012815,12,12,-1,medium,medium,0.55,medium,2,,,,,all_allowed,negative_control,624025
F,F_00002,knife_pass,geometric_fc,1,1,0,0,1,1,0.03883738,12,12,-1,medium,medium,0.55,medium,2,,,,,all_allowed,negative_control,624026
F,F_00002,knife_pass,oracle_sfc,1,1,0,0,1,1,0.03883738,12,12,-1,medium,medium,0.55,medium,2,,,,,all_allowed,negative_control,624026
F,F_00002,knife_pass,semantic_only,1,1,0,0,1,1,0.0,12,12,-1,medium,medium,0.55,medium,2,,,,,all_allowed,negative_control,624026
F,F_00002,knife_pass,posthoc_single,1,1,0,0,1,1,0.03883738,12,12,-1,medium,medium,0.55,medium,2,,,,,all_allowed,negative_control,624026
F,F_00002,knife_pass,soft_penalty_fc,1,1,0,0,1,1,0.03883738,12,12,-1,medium,medium,0.55,medium,2,,,,,all_allowed,negative_control,624026
F,F_00003,knife_pass,geometric_fc,1,1,0,0,1,1,0.03785271,12,12,-1,medium,medium,0.55,medium,2,,,,,all_allowed,negative_control,624027
F,F_00003,knife_pass,oracle_sfc,1,1,0,0,1,1,0.03785271,12,12,-1,medium,medium,0.55,medium,2,,,,,all_allowed,negative_control,624027
F,F_00003,knife_pass,semantic_only,1,1,0,0,1,1,0.0,12,12,-1,medium,medium,0.55,medium,2,,,,,all_allowed,negative_control,624027
F,F_00003,knife_pass,posthoc_single,1,1,0,0,1,1,0.03785271,12,12,-1,medium,medium,0.55,medium,2,,,,,all_allowed,negative_control,624027
F,F_00003,knife_pass,soft_penalty_fc,1,1,0,0,1,1,0.03785271,12,12,-1,medium,medium,0.55,medium,2,,,,,all_allowed,negative_control,624027
F,F_00004,knife_pass,geometric_fc,1,1,0,0,1,1,0.04011351,12,12,-1,medium,medium,0.55,medium,2,,,,,all_allowed,negative_control,624028
F,F_00004,knife_pass,oracle_sfc,1,1,0,0,1,1,0.04011351,12,12,-1,medium,medium,0.55,medium,2,,,,,all_allowed,negative_control,624028
F,F_00004,knife_pass,semantic_only,1,1,0,0,1,1,0.0,12,12,-1,medium,medium,0.55,medium,2,,,,,all_allowed,negative_control,624028
F,F_00004,knife_pass,posthoc_single,1,1,0,0,1,1,0.04011351,12,12,-1,medium,medium,0.55,medium,2,,,,,all_allowed,negative_control,624028
F,F_00004,knife_pass,soft_penalty_fc,1,1,0,0,1,1,0.04011351,12,12,-1,medium,medium,0.55,medium,2,,,,,all_allowed,negative_control,624028
F,F_00005,knife_pass,geometric_fc,1,1,0,0,1,1,0.03776185,12,12,-1,medium,medium,0.55,medium,2,,,,,all_allowed,negative_control,624029
F,F_00005,knife_pass,oracle_sfc,1,1,0,0,1,1,0.03776185,12,12,-1,medium,medium,0.55,medium,2,,,,,all_allowed,negative_control,624029
F,F_00005,knife_pass,semantic_only,1,1,0,0,1,1,0.0,12,12,-1,medium,medium,0.55,medium,2,,,,,all_allowed,negative_control,624029
F,F_00005,knife_pass,posthoc_single,1,1,0,0,1,1,0.03776185,12,12,-1,medium,medium,0.55,medium,2,,,,,all_allowed,negative_control,624029
F,F_00005,knife_pass,soft_penalty_fc,1,1,0,0,1,1,0.03776185,12,12,-1,medium,medium,0.55,medium,2,,,,,all_allowed,negative_control,624029
F,F_00006,knife_pass,geometric_fc,1,1,0,0,1,1,0.0383779,12,12,-1,medium,medium,0.55,medium,2,,,,,all_allowed,negative_control,624030
F,F_00006,knife_pass,oracle_sfc,1,1,0,0,1,1,0.0383779,12,12,-1,medium,medium,0.55,medium,2,,,,,all_allowed,negative_control,624030
F,F_00006,knife_pass,semantic_only,1,1,0,0,1,1,0.0,12,12,-1,medium,medium,0.55,medium,2,,,,,all_allowed,negative_control,624030
F,F_00006,knife_pass,posthoc_single,1,1,0,0,1,1,0.0383779,12,12,-1,medium,medium,0.55,medium,2,,,,,all_allowed,negative_control,624030
F,F_00006,knife_pass,soft_penalty_fc,1,1,0,0,1,1,0.0383779,12,12,-1,medium,medium,0.55,medium,2,,,,,all_allowed,negative_control,624030
F,F_00007,knife_pass,geometric_fc,1,1,0,0,1,1,0.04121996,12,12,-1,medium,medium,0.55,medium,2,,,,,all_allowed,negative_control,624031
F,F_00007,knife_pass,oracle_sfc,1,1,0,0,1,1,0.04121996,12,12,-1,medium,medium,0.55,medium,2,,,,,all_allowed,negative_control,624031
F,F_00007,knife_pass,semantic_only,1,1,0,0,1,1,0.0,12,12,-1,medium,medium,0.55,medium,2,,,,,all_allowed,negative_control,624031
F,F_00007,knife_pass,posthoc_single,1,1,0,0,1,1,0.04121996,12,12,-1,medium,medium,0.55,medium,2,,,,,all_allowed,negative_control,624031
F,F_00007,knife_pass,soft_penalty_fc,1,1,0,0,1,1,0.04121996,12,12,-1,medium,medium,0.55,medium,2,,,,,all_allowed,negative_control,624031
F,F_00008,knife_pass,geometric_fc,1,1,0,0,1,1,0.03683111,12,12,-1,medium,medium,0.55,medium,2,,,,,all_allowed,negative_control,624032
