role_error_rate,confidence_mode,risk_threshold,method,rows,accepted_rate,true_legal_rate,unsafe_rate,missed_true_sfc_rate,geometric_feasible_rate,oracle_sfc_feasible_rate,mean_quality_when_feasible
,,,geometric_fc,5040,1.0,0.0,1.0,0.3938,1.0,0.3938,0.038011
,,,oracle_sfc,5040,0.3938,0.3938,0.0,0.0,1.0,0.3938,0.0344
,,,posthoc_single,5040,0.0,0.0,0.0,0.3938,1.0,0.3938,0.038011
,,,semantic_only,5040,1.0,0.3938,0.6062,0.0,1.0,0.3938,0.0
,,,soft_penalty_fc,5040,1.0,0.0,1.0,0.3938,1.0,0.3938,0.038011
0.0,adversarial,0.55,abstaining_sfc,60,0.0667,0.0667,0.0,0.3,1.0,0.3667,0.046552
0.0,adversarial,0.55,observed_sfc,60,0.3667,0.3667,0.0,0.0,1.0,0.3667,0.039066
0.0,adversarial,0.55,risk_aware_sfc,60,0.3,0.3,0.0,0.0667,1.0,0.3667,0.057088
0.0,adversarial,0.7,abstaining_sfc,60,0.0,0.0,0.0,0.3833,1.0,0.3833,0.0
0.0,adversarial,0.7,observed_sfc,60,0.3833,0.3833,0.0,0.0,1.0,0.3833,0.036274
0.0,adversarial,0.7,risk_aware_sfc,60,0.0667,0.0667,0.0,0.3167,1.0,0.3833,0.149339
0.0,adversarial,0.85,abstaining_sfc,60,0.0,0.0,0.0,0.3667,1.0,0.3667,0.0
0.0,adversarial,0.85,observed_sfc,60,0.3667,0.3667,0.0,0.0,1.0,0.3667,0.037217
0.0,adversarial,0.85,risk_aware_sfc,60,0.0,0.0,0.0,0.3667,1.0,0.3667,0.0
0.0,calibrated,0.55,abstaining_sfc,60,0.4333,0.4333,0.0,0.0,1.0,0.4333,0.031086
0.0,calibrated,0.55,observed_sfc,60,0.4333,0.4333,0.0,0.0,1.0,0.4333,0.031086
0.0,calibrated,0.55,risk_aware_sfc,60,0.4333,0.4333,0.0,0.0,1.0,0.4333,0.031086
0.0,calibrated,0.7,abstaining_sfc,60,0.4167,0.4167,0.0,0.0,1.0,0.4167,0.034723
0.0,calibrated,0.7,observed_sfc,60,0.4167,0.4167,0.0,0.0,1.0,0.4167,0.034723
0.0,calibrated,0.7,risk_aware_sfc,60,0.4167,0.4167,0.0,0.0,1.0,0.4167,0.034723
0.0,calibrated,0.85,abstaining_sfc,60,0.0,0.0,0.0,0.4,1.0,0.4,0.0
0.0,calibrated,0.85,observed_sfc,60,0.4,0.4,0.0,0.0,1.0,0.4,0.034169
0.0,calibrated,0.85,risk_aware_sfc,60,0.25,0.25,0.0,0.15,1.0,0.4,0.060523
0.0,overconfident,0.55,abstaining_sfc,60,0.3667,0.3667,0.0,0.0,1.0,0.3667,0.037216
0.0,overconfident,0.55,observed_sfc,60,0.3667,0.3667,0.0,0.0,1.0,0.3667,0.037216
0.0,overconfident,0.55,risk_aware_sfc,60,0.3667,0.3667,0.0,0.0,1.0,0.3667,0.037216
0.0,overconfident,0.7,abstaining_sfc,60,0.3833,0.3833,0.0,0.0,1.0,0.3833,0.035447
0.0,overconfident,0.7,observed_sfc,60,0.3833,0.3833,0.0,0.0,1.0,0.3833,0.035447
0.0,overconfident,0.7,risk_aware_sfc,60,0.3833,0.3833,0.0,0.0,1.0,0.3833,0.035447
0.0,overconfident,0.85,abstaining_sfc,60,0.4,0.4,0.0,0.0,1.0,0.4,0.034516
