friction_band,facets,method,rows,accepted_rate,true_legal_rate,unsafe_rate,missed_true_sfc_rate,geometric_feasible_rate,oracle_sfc_feasible_rate,mean_quality_when_feasible
high,2,geometric_fc,64,1.0,0.0,1.0,0.6094,1.0,0.6094,0.039033
high,2,oracle_sfc,64,0.6094,0.6094,0.0,0.0,1.0,0.6094,0.038565
high,2,posthoc_single,64,0.0,0.0,0.0,0.6094,1.0,0.6094,0.039033
high,2,semantic_only,64,1.0,0.6094,0.3906,0.0,1.0,0.6094,0.0
high,2,soft_penalty_fc,64,1.0,0.0,1.0,0.6094,1.0,0.6094,0.039033
high,4,geometric_fc,64,1.0,0.0,1.0,0.625,1.0,0.625,0.019425
high,4,oracle_sfc,64,0.625,0.625,0.0,0.0,1.0,0.625,0.018099
high,4,posthoc_single,64,0.0,0.0,0.0,0.625,1.0,0.625,0.019425
high,4,semantic_only,64,1.0,0.625,0.375,0.0,1.0,0.625,0.0
high,4,soft_penalty_fc,64,1.0,0.0,1.0,0.625,1.0,0.625,0.019425
high,8,geometric_fc,64,1.0,0.0,1.0,0.625,1.0,0.625,0.009672
high,8,oracle_sfc,64,0.625,0.625,0.0,0.0,1.0,0.625,0.00887
high,8,posthoc_single,64,0.0,0.0,0.0,0.625,1.0,0.625,0.009672
high,8,semantic_only,64,1.0,0.625,0.375,0.0,1.0,0.625,0.0
high,8,soft_penalty_fc,64,0.0,0.0,0.0,0.625,1.0,0.625,0.009672
low,2,geometric_fc,64,1.0,0.0,1.0,0.3438,1.0,0.3438,0.036864
low,2,oracle_sfc,64,0.3438,0.3438,0.0,0.0,1.0,0.3438,0.033545
low,2,posthoc_single,64,0.0,0.0,0.0,0.3438,1.0,0.3438,0.036864
low,2,semantic_only,64,1.0,0.3438,0.6562,0.0,1.0,0.3438,0.0
low,2,soft_penalty_fc,64,1.0,0.0,1.0,0.3438,1.0,0.3438,0.036864
low,4,geometric_fc,64,1.0,0.0,1.0,0.3594,1.0,0.3594,0.018833
low,4,oracle_sfc,64,0.3594,0.3594,0.0,0.0,1.0,0.3594,0.016539
low,4,posthoc_single,64,0.0,0.0,0.0,0.3594,1.0,0.3594,0.018833
low,4,semantic_only,64,1.0,0.3594,0.6406,0.0,1.0,0.3594,0.0
low,4,soft_penalty_fc,64,1.0,0.0,1.0,0.3594,1.0,0.3594,0.018833
low,8,geometric_fc,64,1.0,0.0,1.0,0.3906,1.0,0.3906,0.009205
low,8,oracle_sfc,64,0.3906,0.3906,0.0,0.0,1.0,0.3906,0.007566
low,8,posthoc_single,64,0.0,0.0,0.0,0.3906,1.0,0.3906,0.009205
low,8,semantic_only,64,1.0,0.3906,0.6094,0.0,1.0,0.3906,0.0
low,8,soft_penalty_fc,64,0.0312,0.0,0.0312,0.3906,1.0,0.3906,0.009205
medium,2,geometric_fc,64,1.0,0.0,1.0,0.5,1.0,0.5,0.037821
medium,2,oracle_sfc,64,0.5,0.5,0.0,0.0,1.0,0.5,0.033462
medium,2,posthoc_single,64,0.0,0.0,0.0,0.5,1.0,0.5,0.037821
medium,2,semantic_only,64,1.0,0.5,0.5,0.0,1.0,0.5,0.0
medium,2,soft_penalty_fc,64,1.0,0.0,1.0,0.5,1.0,0.5,0.037821
medium,4,geometric_fc,64,1.0,0.0,1.0,0.4844,1.0,0.4844,0.018994
medium,4,oracle_sfc,64,0.4844,0.4844,0.0,0.0,1.0,0.4844,0.016908
medium,4,posthoc_single,64,0.0,0.0,0.0,0.4844,1.0,0.4844,0.018994
medium,4,semantic_only,64,1.0,0.4844,0.5156,0.0,1.0,0.4844,0.0
medium,4,soft_penalty_fc,64,1.0,0.0,1.0,0.4844,1.0,0.4844,0.018994
medium,8,geometric_fc,64,1.0,0.0,1.0,0.4844,1.0,0.4844,0.00943
medium,8,oracle_sfc,64,0.4844,0.4844,0.0,0.0,1.0,0.4844,0.008799
medium,8,posthoc_single,64,0.0,0.0,0.0,0.4844,1.0,0.4844,0.00943
medium,8,semantic_only,64,1.0,0.4844,0.5156,0.0,1.0,0.4844,0.0
medium,8,soft_penalty_fc,64,0.0156,0.0,0.0156,0.4844,1.0,0.4844,0.00943
mixed,2,geometric_fc,64,1.0,0.0,1.0,0.5,1.0,0.5,0.038899
mixed,2,oracle_sfc,64,0.5,0.5,0.0,0.0,1.0,0.5,0.034584
mixed,2,posthoc_single,64,0.0,0.0,0.0,0.5,1.0,0.5,0.038899
mixed,2,semantic_only,64,1.0,0.5,0.5,0.0,1.0,0.5,0.0
mixed,2,soft_penalty_fc,64,1.0,0.0,1.0,0.5,1.0,0.5,0.038899
mixed,4,geometric_fc,64,1.0,0.0,1.0,0.5312,1.0,0.5312,0.019109
mixed,4,oracle_sfc,64,0.5312,0.5312,0.0,0.0,1.0,0.5312,0.017135
mixed,4,posthoc_single,64,0.0,0.0,0.0,0.5312,1.0,0.5312,0.019109
mixed,4,semantic_only,64,1.0,0.5312,0.4688,0.0,1.0,0.5312,0.0
mixed,4,soft_penalty_fc,64,1.0,0.0,1.0,0.5312,1.0,0.5312,0.019109
mixed,8,geometric_fc,64,1.0,0.0,1.0,0.5625,1.0,0.5625,0.009573
mixed,8,oracle_sfc,64,0.5625,0.5625,0.0,0.0,1.0,0.5625,0.00835
mixed,8,posthoc_single,64,0.0,0.0,0.0,0.5625,1.0,0.5625,0.009573
mixed,8,semantic_only,64,1.0,0.5625,0.4375,0.0,1.0,0.5625,0.0
mixed,8,soft_penalty_fc,64,0.0312,0.0,0.0312,0.5625,1.0,0.5625,0.009573
