control,method,rows,accepted_rate,true_legal_rate,unsafe_rate,missed_true_sfc_rate,geometric_feasible_rate,oracle_sfc_feasible_rate,mean_quality_when_feasible
all_allowed,geometric_fc,64,1.0,1.0,0.0,0.0,1.0,1.0,0.038156
all_allowed,oracle_sfc,64,1.0,1.0,0.0,0.0,1.0,1.0,0.038156
all_allowed,posthoc_single,64,1.0,1.0,0.0,0.0,1.0,1.0,0.038156
all_allowed,semantic_only,64,1.0,1.0,0.0,0.0,1.0,1.0,0.0
all_allowed,soft_penalty_fc,64,1.0,1.0,0.0,0.0,1.0,1.0,0.038156
geometrically_infeasible,geometric_fc,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0
geometrically_infeasible,oracle_sfc,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0
geometrically_infeasible,posthoc_single,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0
geometrically_infeasible,semantic_only,64,1.0,0.0,1.0,0.0,0.0,0.0,0.0
geometrically_infeasible,soft_penalty_fc,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_forbidden_advantage,geometric_fc,64,1.0,0.0,1.0,0.5625,1.0,0.5625,0.037956
no_forbidden_advantage,oracle_sfc,64,0.5625,0.5625,0.0,0.0,1.0,0.5625,0.040344
no_forbidden_advantage,posthoc_single,64,0.0,0.0,0.0,0.5625,1.0,0.5625,0.037956
no_forbidden_advantage,semantic_only,64,1.0,0.5625,0.4375,0.0,1.0,0.5625,0.0
no_forbidden_advantage,soft_penalty_fc,64,1.0,0.0,1.0,0.5625,1.0,0.5625,0.037956
none,geometric_fc,64,1.0,0.0,1.0,0.4688,1.0,0.4688,0.038083
none,oracle_sfc,64,0.4688,0.4688,0.0,0.0,1.0,0.4688,0.03384
none,posthoc_single,64,0.0,0.0,0.0,0.4688,1.0,0.4688,0.038083
none,semantic_only,64,1.0,0.4688,0.5312,0.0,1.0,0.4688,0.0
none,soft_penalty_fc,64,1.0,0.0,1.0,0.4688,1.0,0.4688,0.038083
none_allowed,geometric_fc,64,1.0,0.0,1.0,0.0,1.0,0.0,0.03838
none_allowed,oracle_sfc,64,0.0,0.0,0.0,0.0,1.0,0.0,0.0
none_allowed,posthoc_single,64,0.0,0.0,0.0,0.0,1.0,0.0,0.03838
none_allowed,semantic_only,64,0.0,0.0,0.0,0.0,1.0,0.0,0.0
none_allowed,soft_penalty_fc,64,1.0,0.0,1.0,0.0,1.0,0.0,0.03838
random_roles,geometric_fc,64,1.0,0.0,1.0,0.9219,1.0,0.9219,0.037976
random_roles,oracle_sfc,64,0.9219,0.9219,0.0,0.0,1.0,0.9219,0.06292
random_roles,posthoc_single,64,0.0,0.0,0.0,0.9219,1.0,0.9219,0.037976
random_roles,semantic_only,64,0.9531,0.9219,0.0312,0.0,1.0,0.9219,0.0
random_roles,soft_penalty_fc,64,1.0,0.0,1.0,0.9219,1.0,0.9219,0.037976
