family,case_id,task,method,accepted,true_legal_certificate,unsafe_false_certificate,missed_true_sfc,geometric_feasible,oracle_sfc_feasible,quality,num_contacts,num_true_allowed,num_observed_allowed,density,allowed_sparsity,trap_strength,friction_band,facets,role_error_rate,confidence_mode,risk_threshold,topk_budget,control,condition,seed
B,B_00001,knife_pass,geometric_fc,1,0,1,0,1,0,0.03928209,12,6,-1,medium,medium,0.55,medium,2,,,,,,semantic_noise,224025
B,B_00001,knife_pass,oracle_sfc,0,0,0,0,1,0,0.0,12,6,-1,medium,medium,0.55,medium,2,,,,,,semantic_noise,224025
B,B_00001,knife_pass,semantic_only,1,0,1,0,1,0,0.0,12,6,-1,medium,medium,0.55,medium,2,,,,,,semantic_noise,224025
B,B_00001,knife_pass,posthoc_single,0,0,0,0,1,0,0.03928209,12,6,-1,medium,medium,0.55,medium,2,,,,,,semantic_noise,224025
B,B_00001,knife_pass,soft_penalty_fc,1,0,1,0,1,0,0.03928209,12,6,-1,medium,medium,0.55,medium,2,,,,,,semantic_noise,224025
B,B_00001,knife_pass,observed_sfc,0,0,0,0,1,0,0.0,12,6,6,medium,medium,0.55,medium,2,0.0,calibrated,0.55,,,semantic_noise,224025
B,B_00001,knife_pass,risk_aware_sfc,0,0,0,0,1,0,0.0,12,6,6,medium,medium,0.55,medium,2,0.0,calibrated,0.55,,,semantic_noise,224025
B,B_00001,knife_pass,abstaining_sfc,0,0,0,0,1,0,0.0,12,6,6,medium,medium,0.55,medium,2,0.0,calibrated,0.55,,,semantic_noise,224025
B,B_00002,knife_pass,geometric_fc,1,0,1,0,1,0,0.0392234,12,6,-1,medium,medium,0.55,medium,2,,,,,,semantic_noise,224026
B,B_00002,knife_pass,oracle_sfc,0,0,0,0,1,0,0.0,12,6,-1,medium,medium,0.55,medium,2,,,,,,semantic_noise,224026
B,B_00002,knife_pass,semantic_only,1,0,1,0,1,0,0.0,12,6,-1,medium,medium,0.55,medium,2,,,,,,semantic_noise,224026
B,B_00002,knife_pass,posthoc_single,0,0,0,0,1,0,0.0392234,12,6,-1,medium,medium,0.55,medium,2,,,,,,semantic_noise,224026
B,B_00002,knife_pass,soft_penalty_fc,1,0,1,0,1,0,0.0392234,12,6,-1,medium,medium,0.55,medium,2,,,,,,semantic_noise,224026
B,B_00002,knife_pass,observed_sfc,0,0,0,0,1,0,0.0,12,6,6,medium,medium,0.55,medium,2,0.0,calibrated,0.55,,,semantic_noise,224026
B,B_00002,knife_pass,risk_aware_sfc,0,0,0,0,1,0,0.0,12,6,6,medium,medium,0.55,medium,2,0.0,calibrated,0.55,,,semantic_noise,224026
B,B_00002,knife_pass,abstaining_sfc,0,0,0,0,1,0,0.0,12,6,6,medium,medium,0.55,medium,2,0.0,calibrated,0.55,,,semantic_noise,224026
B,B_00003,knife_pass,geometric_fc,1,0,1,0,1,0,0.04020735,12,6,-1,medium,medium,0.55,medium,2,,,,,,semantic_noise,224027
B,B_00003,knife_pass,oracle_sfc,0,0,0,0,1,0,0.0,12,6,-1,medium,medium,0.55,medium,2,,,,,,semantic_noise,224027
B,B_00003,knife_pass,semantic_only,1,0,1,0,1,0,0.0,12,6,-1,medium,medium,0.55,medium,2,,,,,,semantic_noise,224027
B,B_00003,knife_pass,posthoc_single,0,0,0,0,1,0,0.04020735,12,6,-1,medium,medium,0.55,medium,2,,,,,,semantic_noise,224027
B,B_00003,knife_pass,soft_penalty_fc,1,0,1,0,1,0,0.04020735,12,6,-1,medium,medium,0.55,medium,2,,,,,,semantic_noise,224027
B,B_00003,knife_pass,observed_sfc,0,0,0,0,1,0,0.0,12,6,6,medium,medium,0.55,medium,2,0.0,calibrated,0.55,,,semantic_noise,224027
B,B_00003,knife_pass,risk_aware_sfc,0,0,0,0,1,0,0.0,12,6,6,medium,medium,0.55,medium,2,0.0,calibrated,0.55,,,semantic_noise,224027
B,B_00003,knife_pass,abstaining_sfc,0,0,0,0,1,0,0.0,12,6,6,medium,medium,0.55,medium,2,0.0,calibrated,0.55,,,semantic_noise,224027
B,B_00004,knife_pass,geometric_fc,1,0,1,0,1,0,0.04020012,12,6,-1,medium,medium,0.55,medium,2,,,,,,semantic_noise,224028
B,B_00004,knife_pass,oracle_sfc,0,0,0,0,1,0,0.0,12,6,-1,medium,medium,0.55,medium,2,,,,,,semantic_noise,224028
B,B_00004,knife_pass,semantic_only,1,0,1,0,1,0,0.0,12,6,-1,medium,medium,0.55,medium,2,,,,,,semantic_noise,224028
B,B_00004,knife_pass,posthoc_single,0,0,0,0,1,0,0.04020012,12,6,-1,medium,medium,0.55,medium,2,,,,,,semantic_noise,224028
B,B_00004,knife_pass,soft_penalty_fc,1,0,1,0,1,0,0.04020012,12,6,-1,medium,medium,0.55,medium,2,,,,,,semantic_noise,224028
B,B_00004,knife_pass,observed_sfc,0,0,0,0,1,0,0.0,12,6,6,medium,medium,0.55,medium,2,0.0,calibrated,0.55,,,semantic_noise,224028
B,B_00004,knife_pass,risk_aware_sfc,0,0,0,0,1,0,0.0,12,6,6,medium,medium,0.55,medium,2,0.0,calibrated,0.55,,,semantic_noise,224028
B,B_00004,knife_pass,abstaining_sfc,0,0,0,0,1,0,0.0,12,6,6,medium,medium,0.55,medium,2,0.0,calibrated,0.55,,,semantic_noise,224028
B,B_00005,knife_pass,geometric_fc,1,0,1,0,1,0,0.0410119,12,6,-1,medium,medium,0.55,medium,2,,,,,,semantic_noise,224029
B,B_00005,knife_pass,oracle_sfc,0,0,0,0,1,0,0.0,12,6,-1,medium,medium,0.55,medium,2,,,,,,semantic_noise,224029
B,B_00005,knife_pass,semantic_only,1,0,1,0,1,0,0.0,12,6,-1,medium,medium,0.55,medium,2,,,,,,semantic_noise,224029
B,B_00005,knife_pass,posthoc_single,0,0,0,0,1,0,0.0410119,12,6,-1,medium,medium,0.55,medium,2,,,,,,semantic_noise,224029
B,B_00005,knife_pass,soft_penalty_fc,1,0,1,0,1,0,0.0410119,12,6,-1,medium,medium,0.55,medium,2,,,,,,semantic_noise,224029
B,B_00005,knife_pass,observed_sfc,0,0,0,0,1,0,0.0,12,6,6,medium,medium,0.55,medium,2,0.0,calibrated,0.55,,,semantic_noise,224029
B,B_00005,knife_pass,risk_aware_sfc,0,0,0,0,1,0,0.0,12,6,6,medium,medium,0.55,medium,2,0.0,calibrated,0.55,,,semantic_noise,224029
B,B_00005,knife_pass,abstaining_sfc,0,0,0,0,1,0,0.0,12,6,6,medium,medium,0.55,medium,2,0.0,calibrated,0.55,,,semantic_noise,224029
B,B_00006,knife_pass,geometric_fc,1,0,1,0,1,0,0.03730606,12,6,-1,medium,medium,0.55,medium,2,,,,,,semantic_noise,224030
B,B_00006,knife_pass,oracle_sfc,0,0,0,0,1,0,0.0,12,6,-1,medium,medium,0.55,medium,2,,,,,,semantic_noise,224030
B,B_00006,knife_pass,semantic_only,1,0,1,0,1,0,0.0,12,6,-1,medium,medium,0.55,medium,2,,,,,,semantic_noise,224030
B,B_00006,knife_pass,posthoc_single,0,0,0,0,1,0,0.03730606,12,6,-1,medium,medium,0.55,medium,2,,,,,,semantic_noise,224030
B,B_00006,knife_pass,soft_penalty_fc,1,0,1,0,1,0,0.03730606,12,6,-1,medium,medium,0.55,medium,2,,,,,,semantic_noise,224030
B,B_00006,knife_pass,observed_sfc,0,0,0,0,1,0,0.0,12,6,6,medium,medium,0.55,medium,2,0.0,calibrated,0.55,,,semantic_noise,224030
B,B_00006,knife_pass,risk_aware_sfc,0,0,0,0,1,0,0.0,12,6,6,medium,medium,0.55,medium,2,0.0,calibrated,0.55,,,semantic_noise,224030
B,B_00006,knife_pass,abstaining_sfc,0,0,0,0,1,0,0.0,12,6,6,medium,medium,0.55,medium,2,0.0,calibrated,0.55,,,semantic_noise,224030
B,B_00007,knife_pass,geometric_fc,1,0,1,0,1,0,0.04033423,12,6,-1,medium,medium,0.55,medium,2,,,,,,semantic_noise,224031
B,B_00007,knife_pass,oracle_sfc,0,0,0,0,1,0,0.0,12,6,-1,medium,medium,0.55,medium,2,,,,,,semantic_noise,224031
B,B_00007,knife_pass,semantic_only,1,0,1,0,1,0,0.0,12,6,-1,medium,medium,0.55,medium,2,,,,,,semantic_noise,224031
B,B_00007,knife_pass,posthoc_single,0,0,0,0,1,0,0.04033423,12,6,-1,medium,medium,0.55,medium,2,,,,,,semantic_noise,224031
B,B_00007,knife_pass,soft_penalty_fc,1,0,1,0,1,0,0.04033423,12,6,-1,medium,medium,0.55,medium,2,,,,,,semantic_noise,224031
B,B_00007,knife_pass,observed_sfc,0,0,0,0,1,0,0.0,12,6,6,medium,medium,0.55,medium,2,0.0,calibrated,0.7,,,semantic_noise,224031
B,B_00007,knife_pass,risk_aware_sfc,0,0,0,0,1,0,0.0,12,6,6,medium,medium,0.55,medium,2,0.0,calibrated,0.7,,,semantic_noise,224031
B,B_00007,knife_pass,abstaining_sfc,0,0,0,0,1,0,0.0,12,6,6,medium,medium,0.55,medium,2,0.0,calibrated,0.7,,,semantic_noise,224031
