task,method,rows,accepted_rate,true_legal_rate,unsafe_rate,missed_true_sfc_rate,geometric_feasible_rate,oracle_sfc_feasible_rate,mean_quality_when_feasible
apple_pick,geometric_fc,324,1.0,0.0,1.0,0.7315,1.0,0.7315,0.043595
apple_pick,oracle_sfc,324,0.7315,0.7315,0.0,0.0,1.0,0.7315,0.028925
apple_pick,posthoc_single,324,0.0,0.0,0.0,0.7315,1.0,0.7315,0.043595
apple_pick,semantic_only,324,1.0,0.7315,0.2685,0.0,1.0,0.7315,0.0
apple_pick,soft_penalty_fc,324,1.0,0.0,1.0,0.7315,1.0,0.7315,0.043595
flower_cut,geometric_fc,324,1.0,0.0,1.0,0.0556,1.0,0.0556,0.034049
flower_cut,oracle_sfc,324,0.0556,0.0556,0.0,0.0,1.0,0.0556,0.007344
flower_cut,posthoc_single,324,0.0,0.0,0.0,0.0556,1.0,0.0556,0.034049
flower_cut,semantic_only,324,1.0,0.0556,0.9444,0.0,1.0,0.0556,0.0
flower_cut,soft_penalty_fc,324,1.0,0.0,1.0,0.0556,1.0,0.0556,0.034049
knife_pass,geometric_fc,324,1.0,0.0,1.0,0.0154,1.0,0.0154,0.038212
knife_pass,oracle_sfc,324,0.0154,0.0154,0.0,0.0,1.0,0.0154,0.006025
knife_pass,posthoc_single,324,0.0,0.0,0.0,0.0154,1.0,0.0154,0.038212
knife_pass,semantic_only,324,1.0,0.0154,0.9846,0.0,1.0,0.0154,0.0
knife_pass,soft_penalty_fc,324,1.0,0.0,1.0,0.0154,1.0,0.0154,0.038212
mug_serve,geometric_fc,324,1.0,0.0,1.0,1.0,1.0,1.0,0.03831
mug_serve,oracle_sfc,324,1.0,1.0,0.0,0.0,1.0,1.0,0.045011
mug_serve,posthoc_single,324,0.0,0.0,0.0,1.0,1.0,1.0,0.03831
mug_serve,semantic_only,324,1.0,1.0,0.0,0.0,1.0,1.0,0.0
mug_serve,soft_penalty_fc,324,1.0,0.0,1.0,1.0,1.0,1.0,0.03831
pan_carry,geometric_fc,324,1.0,0.0,1.0,0.4352,1.0,0.4352,0.035182
pan_carry,oracle_sfc,324,0.4352,0.4352,0.0,0.0,1.0,0.4352,0.016347
pan_carry,posthoc_single,324,0.0,0.0,0.0,0.4352,1.0,0.4352,0.035182
pan_carry,semantic_only,324,1.0,0.4352,0.5648,0.0,1.0,0.4352,0.0
pan_carry,soft_penalty_fc,324,1.0,0.0,1.0,0.4352,1.0,0.4352,0.035182
phone_pick,geometric_fc,324,1.0,0.0,1.0,1.0,1.0,1.0,0.036256
phone_pick,oracle_sfc,324,1.0,1.0,0.0,0.0,1.0,1.0,0.04857
phone_pick,posthoc_single,324,0.0,0.0,0.0,1.0,1.0,1.0,0.036256
phone_pick,semantic_only,324,1.0,1.0,0.0,0.0,1.0,1.0,0.0
phone_pick,soft_penalty_fc,324,1.0,0.0,1.0,1.0,1.0,1.0,0.036256
scissors_pass,geometric_fc,324,1.0,0.0,1.0,0.0648,1.0,0.0648,0.040257
scissors_pass,oracle_sfc,324,0.0648,0.0648,0.0,0.0,1.0,0.0648,0.013388
scissors_pass,posthoc_single,324,0.0,0.0,0.0,0.0648,1.0,0.0648,0.040257
scissors_pass,semantic_only,324,1.0,0.0648,0.9352,0.0,1.0,0.0648,0.0
scissors_pass,soft_penalty_fc,324,1.0,0.0,1.0,0.0648,1.0,0.0648,0.040257
spray_bottle_use,geometric_fc,324,1.0,0.0,1.0,0.8889,1.0,0.8889,0.034005
spray_bottle_use,oracle_sfc,324,0.8889,0.8889,0.0,0.0,1.0,0.8889,0.027933
spray_bottle_use,posthoc_single,324,0.0,0.0,0.0,0.8889,1.0,0.8889,0.034005
spray_bottle_use,semantic_only,324,1.0,0.8889,0.1111,0.0,1.0,0.8889,0.0
spray_bottle_use,soft_penalty_fc,324,1.0,0.0,1.0,0.8889,1.0,0.8889,0.034005
syringe_handoff,geometric_fc,324,1.0,0.0,1.0,0.0463,1.0,0.0463,0.039531
syringe_handoff,oracle_sfc,324,0.0463,0.0463,0.0,0.0,1.0,0.0463,0.010524
syringe_handoff,posthoc_single,324,0.0,0.0,0.0,0.0463,1.0,0.0463,0.039531
syringe_handoff,semantic_only,324,1.0,0.0463,0.9537,0.0,1.0,0.0463,0.0
syringe_handoff,soft_penalty_fc,324,1.0,0.0,1.0,0.0463,1.0,0.0463,0.039531
tablet_pickup,geometric_fc,324,1.0,0.0,1.0,0.3951,1.0,0.3951,0.042167
tablet_pickup,oracle_sfc,324,0.3951,0.3951,0.0,0.0,1.0,0.3951,0.020301
tablet_pickup,posthoc_single,324,0.0,0.0,0.0,0.3951,1.0,0.3951,0.042167
tablet_pickup,semantic_only,324,1.0,0.3951,0.6049,0.0,1.0,0.3951,0.0
tablet_pickup,soft_penalty_fc,324,1.0,0.0,1.0,0.3951,1.0,0.3951,0.042167
