family,case_id,task,method,accepted,true_legal_certificate,unsafe_false_certificate,missed_true_sfc,geometric_feasible,oracle_sfc_feasible,quality,num_contacts,num_true_allowed,num_observed_allowed,density,allowed_sparsity,trap_strength,friction_band,facets,role_error_rate,confidence_mode,risk_threshold,topk_budget,control,condition,seed
A,A_00001,knife_pass,geometric_fc,1,0,1,0,1,0,0.04567115,10,5,-1,sparse,medium,0.0,low,2,,,,,,task_geometry,124025
A,A_00001,knife_pass,oracle_sfc,0,0,0,0,1,0,0.0,10,5,-1,sparse,medium,0.0,low,2,,,,,,task_geometry,124025
A,A_00001,knife_pass,semantic_only,1,0,1,0,1,0,0.0,10,5,-1,sparse,medium,0.0,low,2,,,,,,task_geometry,124025
A,A_00001,knife_pass,posthoc_single,0,0,0,0,1,0,0.04567115,10,5,-1,sparse,medium,0.0,low,2,,,,,,task_geometry,124025
A,A_00001,knife_pass,soft_penalty_fc,1,0,1,0,1,0,0.04567115,10,5,-1,sparse,medium,0.0,low,2,,,,,,task_geometry,124025
A,A_00002,knife_pass,geometric_fc,1,0,1,0,1,0,0.04298124,10,5,-1,sparse,medium,0.0,low,2,,,,,,task_geometry,124026
A,A_00002,knife_pass,oracle_sfc,0,0,0,0,1,0,0.0,10,5,-1,sparse,medium,0.0,low,2,,,,,,task_geometry,124026
A,A_00002,knife_pass,semantic_only,1,0,1,0,1,0,0.0,10,5,-1,sparse,medium,0.0,low,2,,,,,,task_geometry,124026
A,A_00002,knife_pass,posthoc_single,0,0,0,0,1,0,0.04298124,10,5,-1,sparse,medium,0.0,low,2,,,,,,task_geometry,124026
A,A_00002,knife_pass,soft_penalty_fc,1,0,1,0,1,0,0.04298124,10,5,-1,sparse,medium,0.0,low,2,,,,,,task_geometry,124026
A,A_00003,knife_pass,geometric_fc,1,0,1,0,1,0,0.04796694,10,5,-1,sparse,medium,0.0,low,2,,,,,,task_geometry,124027
A,A_00003,knife_pass,oracle_sfc,0,0,0,0,1,0,0.0,10,5,-1,sparse,medium,0.0,low,2,,,,,,task_geometry,124027
A,A_00003,knife_pass,semantic_only,1,0,1,0,1,0,0.0,10,5,-1,sparse,medium,0.0,low,2,,,,,,task_geometry,124027
A,A_00003,knife_pass,posthoc_single,0,0,0,0,1,0,0.04796694,10,5,-1,sparse,medium,0.0,low,2,,,,,,task_geometry,124027
A,A_00003,knife_pass,soft_penalty_fc,1,0,1,0,1,0,0.04796694,10,5,-1,sparse,medium,0.0,low,2,,,,,,task_geometry,124027
A,A_00004,knife_pass,geometric_fc,1,0,1,0,1,0,0.04896591,10,5,-1,sparse,medium,0.0,low,2,,,,,,task_geometry,124028
A,A_00004,knife_pass,oracle_sfc,0,0,0,0,1,0,0.0,10,5,-1,sparse,medium,0.0,low,2,,,,,,task_geometry,124028
A,A_00004,knife_pass,semantic_only,1,0,1,0,1,0,0.0,10,5,-1,sparse,medium,0.0,low,2,,,,,,task_geometry,124028
A,A_00004,knife_pass,posthoc_single,0,0,0,0,1,0,0.04896591,10,5,-1,sparse,medium,0.0,low,2,,,,,,task_geometry,124028
A,A_00004,knife_pass,soft_penalty_fc,1,0,1,0,1,0,0.04896591,10,5,-1,sparse,medium,0.0,low,2,,,,,,task_geometry,124028
A,A_00005,knife_pass,geometric_fc,1,0,1,0,1,0,0.0492343,10,5,-1,sparse,medium,0.0,low,2,,,,,,task_geometry,124029
A,A_00005,knife_pass,oracle_sfc,0,0,0,0,1,0,0.0,10,5,-1,sparse,medium,0.0,low,2,,,,,,task_geometry,124029
A,A_00005,knife_pass,semantic_only,1,0,1,0,1,0,0.0,10,5,-1,sparse,medium,0.0,low,2,,,,,,task_geometry,124029
A,A_00005,knife_pass,posthoc_single,0,0,0,0,1,0,0.0492343,10,5,-1,sparse,medium,0.0,low,2,,,,,,task_geometry,124029
A,A_00005,knife_pass,soft_penalty_fc,1,0,1,0,1,0,0.0492343,10,5,-1,sparse,medium,0.0,low,2,,,,,,task_geometry,124029
A,A_00006,knife_pass,geometric_fc,1,0,1,0,1,0,0.04644927,10,5,-1,sparse,medium,0.0,low,2,,,,,,task_geometry,124030
A,A_00006,knife_pass,oracle_sfc,0,0,0,0,1,0,0.0,10,5,-1,sparse,medium,0.0,low,2,,,,,,task_geometry,124030
A,A_00006,knife_pass,semantic_only,1,0,1,0,1,0,0.0,10,5,-1,sparse,medium,0.0,low,2,,,,,,task_geometry,124030
A,A_00006,knife_pass,posthoc_single,0,0,0,0,1,0,0.04644927,10,5,-1,sparse,medium,0.0,low,2,,,,,,task_geometry,124030
A,A_00006,knife_pass,soft_penalty_fc,1,0,1,0,1,0,0.04644927,10,5,-1,sparse,medium,0.0,low,2,,,,,,task_geometry,124030
A,A_00007,knife_pass,geometric_fc,1,0,1,0,1,0,0.04757476,10,5,-1,sparse,medium,0.0,low,2,,,,,,task_geometry,124031
A,A_00007,knife_pass,oracle_sfc,0,0,0,0,1,0,0.0,10,5,-1,sparse,medium,0.0,low,2,,,,,,task_geometry,124031
A,A_00007,knife_pass,semantic_only,1,0,1,0,1,0,0.0,10,5,-1,sparse,medium,0.0,low,2,,,,,,task_geometry,124031
A,A_00007,knife_pass,posthoc_single,0,0,0,0,1,0,0.04757476,10,5,-1,sparse,medium,0.0,low,2,,,,,,task_geometry,124031
A,A_00007,knife_pass,soft_penalty_fc,1,0,1,0,1,0,0.04757476,10,5,-1,sparse,medium,0.0,low,2,,,,,,task_geometry,124031
A,A_00008,knife_pass,geometric_fc,1,0,1,0,1,0,0.04425378,10,5,-1,sparse,medium,0.0,low,2,,,,,,task_geometry,124032
A,A_00008,knife_pass,oracle_sfc,0,0,0,0,1,0,0.0,10,5,-1,sparse,medium,0.0,low,2,,,,,,task_geometry,124032
A,A_00008,knife_pass,semantic_only,1,0,1,0,1,0,0.0,10,5,-1,sparse,medium,0.0,low,2,,,,,,task_geometry,124032
A,A_00008,knife_pass,posthoc_single,0,0,0,0,1,0,0.04425378,10,5,-1,sparse,medium,0.0,low,2,,,,,,task_geometry,124032
A,A_00008,knife_pass,soft_penalty_fc,1,0,1,0,1,0,0.04425378,10,5,-1,sparse,medium,0.0,low,2,,,,,,task_geometry,124032
A,A_00009,knife_pass,geometric_fc,1,0,1,0,1,0,0.04461456,10,5,-1,sparse,medium,0.0,low,2,,,,,,task_geometry,124033
A,A_00009,knife_pass,oracle_sfc,0,0,0,0,1,0,0.0,10,5,-1,sparse,medium,0.0,low,2,,,,,,task_geometry,124033
A,A_00009,knife_pass,semantic_only,1,0,1,0,1,0,0.0,10,5,-1,sparse,medium,0.0,low,2,,,,,,task_geometry,124033
A,A_00009,knife_pass,posthoc_single,0,0,0,0,1,0,0.04461456,10,5,-1,sparse,medium,0.0,low,2,,,,,,task_geometry,124033
A,A_00009,knife_pass,soft_penalty_fc,1,0,1,0,1,0,0.04461456,10,5,-1,sparse,medium,0.0,low,2,,,,,,task_geometry,124033
A,A_00010,knife_pass,geometric_fc,1,0,1,0,1,0,0.04856872,10,5,-1,sparse,medium,0.0,low,2,,,,,,task_geometry,124034
A,A_00010,knife_pass,oracle_sfc,0,0,0,0,1,0,0.0,10,5,-1,sparse,medium,0.0,low,2,,,,,,task_geometry,124034
A,A_00010,knife_pass,semantic_only,1,0,1,0,1,0,0.0,10,5,-1,sparse,medium,0.0,low,2,,,,,,task_geometry,124034
A,A_00010,knife_pass,posthoc_single,0,0,0,0,1,0,0.04856872,10,5,-1,sparse,medium,0.0,low,2,,,,,,task_geometry,124034
A,A_00010,knife_pass,soft_penalty_fc,1,0,1,0,1,0,0.04856872,10,5,-1,sparse,medium,0.0,low,2,,,,,,task_geometry,124034
A,A_00011,knife_pass,geometric_fc,1,0,1,0,1,0,0.04426192,10,5,-1,sparse,medium,0.0,low,2,,,,,,task_geometry,124035
A,A_00011,knife_pass,oracle_sfc,0,0,0,0,1,0,0.0,10,5,-1,sparse,medium,0.0,low,2,,,,,,task_geometry,124035
A,A_00011,knife_pass,semantic_only,1,0,1,0,1,0,0.0,10,5,-1,sparse,medium,0.0,low,2,,,,,,task_geometry,124035
A,A_00011,knife_pass,posthoc_single,0,0,0,0,1,0,0.04426192,10,5,-1,sparse,medium,0.0,low,2,,,,,,task_geometry,124035
A,A_00011,knife_pass,soft_penalty_fc,1,0,1,0,1,0,0.04426192,10,5,-1,sparse,medium,0.0,low,2,,,,,,task_geometry,124035
A,A_00012,knife_pass,geometric_fc,1,0,1,0,1,0,0.04804326,10,5,-1,sparse,medium,0.0,low,2,,,,,,task_geometry,124036
A,A_00012,knife_pass,oracle_sfc,0,0,0,0,1,0,0.0,10,5,-1,sparse,medium,0.0,low,2,,,,,,task_geometry,124036
A,A_00012,knife_pass,semantic_only,1,0,1,0,1,0,0.0,10,5,-1,sparse,medium,0.0,low,2,,,,,,task_geometry,124036
A,A_00012,knife_pass,posthoc_single,0,0,0,0,1,0,0.04804326,10,5,-1,sparse,medium,0.0,low,2,,,,,,task_geometry,124036
A,A_00012,knife_pass,soft_penalty_fc,1,0,1,0,1,0,0.04804326,10,5,-1,sparse,medium,0.0,low,2,,,,,,task_geometry,124036
A,A_00013,knife_pass,geometric_fc,1,0,1,0,1,0,0.04738559,10,5,-1,sparse,medium,0.0,medium,2,,,,,,task_geometry,124037
A,A_00013,knife_pass,oracle_sfc,0,0,0,0,1,0,0.0,10,5,-1,sparse,medium,0.0,medium,2,,,,,,task_geometry,124037
A,A_00013,knife_pass,semantic_only,1,0,1,0,1,0,0.0,10,5,-1,sparse,medium,0.0,medium,2,,,,,,task_geometry,124037
A,A_00013,knife_pass,posthoc_single,0,0,0,0,1,0,0.04738559,10,5,-1,sparse,medium,0.0,medium,2,,,,,,task_geometry,124037
A,A_00013,knife_pass,soft_penalty_fc,1,0,1,0,1,0,0.04738559,10,5,-1,sparse,medium,0.0,medium,2,,,,,,task_geometry,124037
A,A_00014,knife_pass,geometric_fc,1,0,1,0,1,0,0.04759024,10,5,-1,sparse,medium,0.0,medium,2,,,,,,task_geometry,124038
A,A_00014,knife_pass,oracle_sfc,0,0,0,0,1,0,0.0,10,5,-1,sparse,medium,0.0,medium,2,,,,,,task_geometry,124038
A,A_00014,knife_pass,semantic_only,1,0,1,0,1,0,0.0,10,5,-1,sparse,medium,0.0,medium,2,,,,,,task_geometry,124038
A,A_00014,knife_pass,posthoc_single,0,0,0,0,1,0,0.04759024,10,5,-1,sparse,medium,0.0,medium,2,,,,,,task_geometry,124038
A,A_00014,knife_pass,soft_penalty_fc,1,0,1,0,1,0,0.04759024,10,5,-1,sparse,medium,0.0,medium,2,,,,,,task_geometry,124038
A,A_00015,knife_pass,geometric_fc,1,0,1,0,1,0,0.04581968,10,5,-1,sparse,medium,0.0,medium,2,,,,,,task_geometry,124039
A,A_00015,knife_pass,oracle_sfc,0,0,0,0,1,0,0.0,10,5,-1,sparse,medium,0.0,medium,2,,,,,,task_geometry,124039
A,A_00015,knife_pass,semantic_only,1,0,1,0,1,0,0.0,10,5,-1,sparse,medium,0.0,medium,2,,,,,,task_geometry,124039
A,A_00015,knife_pass,posthoc_single,0,0,0,0,1,0,0.04581968,10,5,-1,sparse,medium,0.0,medium,2,,,,,,task_geometry,124039
A,A_00015,knife_pass,soft_penalty_fc,1,0,1,0,1,0,0.04581968,10,5,-1,sparse,medium,0.0,medium,2,,,,,,task_geometry,124039
A,A_00016,knife_pass,geometric_fc,1,0,1,0,1,0,0.0487426,10,5,-1,sparse,medium,0.0,medium,2,,,,,,task_geometry,124040
A,A_00016,knife_pass,oracle_sfc,0,0,0,0,1,0,0.0,10,5,-1,sparse,medium,0.0,medium,2,,,,,,task_geometry,124040
A,A_00016,knife_pass,semantic_only,1,0,1,0,1,0,0.0,10,5,-1,sparse,medium,0.0,medium,2,,,,,,task_geometry,124040
A,A_00016,knife_pass,posthoc_single,0,0,0,0,1,0,0.0487426,10,5,-1,sparse,medium,0.0,medium,2,,,,,,task_geometry,124040
A,A_00016,knife_pass,soft_penalty_fc,1,0,1,0,1,0,0.0487426,10,5,-1,sparse,medium,0.0,medium,2,,,,,,task_geometry,124040
A,A_00017,knife_pass,geometric_fc,1,0,1,0,1,0,0.04367068,10,5,-1,sparse,medium,0.0,medium,2,,,,,,task_geometry,124041
A,A_00017,knife_pass,oracle_sfc,0,0,0,0,1,0,0.0,10,5,-1,sparse,medium,0.0,medium,2,,,,,,task_geometry,124041
A,A_00017,knife_pass,semantic_only,1,0,1,0,1,0,0.0,10,5,-1,sparse,medium,0.0,medium,2,,,,,,task_geometry,124041
