role_error_rate,scenario,trial_id,true_sfc,observed_sfc,observed_sfc_true_legal,unsafe_false_certificate,missed_true_sfc
0.0,knife_pass,0,0,0,0,0,0
0.0,knife_pass,1,0,0,0,0,0
0.0,knife_pass,2,0,0,0,0,0
0.0,knife_pass,3,0,0,0,0,0
0.0,knife_pass,4,0,0,0,0,0
0.0,knife_pass,5,0,0,0,0,0
0.0,knife_pass,6,0,0,0,0,0
0.0,knife_pass,7,0,0,0,0,0
0.0,knife_pass,8,0,0,0,0,0
0.0,knife_pass,9,0,0,0,0,0
0.0,knife_pass,10,0,0,0,0,0
0.0,knife_pass,11,0,0,0,0,0
0.0,knife_pass,12,0,0,0,0,0
0.0,knife_pass,13,0,0,0,0,0
0.0,knife_pass,14,0,0,0,0,0
0.0,knife_pass,15,0,0,0,0,0
0.0,knife_pass,16,0,0,0,0,0
0.0,knife_pass,17,0,0,0,0,0
0.0,knife_pass,18,0,0,0,0,0
0.0,knife_pass,19,0,0,0,0,0
0.0,knife_pass,20,0,0,0,0,0
0.0,knife_pass,21,0,0,0,0,0
0.0,knife_pass,22,0,0,0,0,0
0.0,knife_pass,23,0,0,0,0,0
0.0,knife_pass,24,0,0,0,0,0
0.0,knife_pass,25,0,0,0,0,0
0.0,knife_pass,26,0,0,0,0,0
0.0,knife_pass,27,0,0,0,0,0
0.0,knife_pass,28,0,0,0,0,0
0.0,knife_pass,29,0,0,0,0,0
0.0,knife_pass,30,0,0,0,0,0
0.0,knife_pass,31,0,0,0,0,0
0.0,knife_pass,32,0,0,0,0,0
0.0,knife_pass,33,0,0,0,0,0
0.0,knife_pass,34,0,0,0,0,0
0.0,knife_pass,35,0,0,0,0,0
0.0,knife_pass,36,0,0,0,0,0
0.0,knife_pass,37,0,0,0,0,0
0.0,knife_pass,38,0,0,0,0,0
0.0,knife_pass,39,0,0,0,0,0
0.0,knife_pass,40,0,0,0,0,0
0.0,knife_pass,41,0,0,0,0,0
0.0,knife_pass,42,0,0,0,0,0
0.0,knife_pass,43,0,0,0,0,0
0.0,knife_pass,44,0,0,0,0,0
0.0,knife_pass,45,0,0,0,0,0
0.0,knife_pass,46,0,0,0,0,0
0.0,knife_pass,47,0,0,0,0,0
0.0,knife_pass,48,0,0,0,0,0
0.0,knife_pass,49,0,0,0,0,0
0.0,knife_pass,50,0,0,0,0,0
0.0,knife_pass,51,0,0,0,0,0
0.0,knife_pass,52,0,0,0,0,0
0.0,knife_pass,53,0,0,0,0,0
0.0,knife_pass,54,0,0,0,0,0
0.0,knife_pass,55,0,0,0,0,0
0.0,knife_pass,56,0,0,0,0,0
0.0,knife_pass,57,0,0,0,0,0
0.0,knife_pass,58,0,0,0,0,0
0.0,knife_pass,59,0,0,0,0,0
0.0,knife_pass,60,0,0,0,0,0
0.0,knife_pass,61,0,0,0,0,0
0.0,knife_pass,62,0,0,0,0,0
0.0,knife_pass,63,0,0,0,0,0
0.0,knife_pass,64,0,0,0,0,0
0.0,knife_pass,65,0,0,0,0,0
0.0,knife_pass,66,0,0,0,0,0
0.0,knife_pass,67,0,0,0,0,0
0.0,knife_pass,68,0,0,0,0,0
0.0,knife_pass,69,0,0,0,0,0
0.0,knife_pass,70,0,0,0,0,0
0.0,knife_pass,71,0,0,0,0,0
0.0,knife_pass,72,0,0,0,0,0
0.0,knife_pass,73,0,0,0,0,0
0.0,knife_pass,74,0,0,0,0,0
0.0,knife_pass,75,0,0,0,0,0
0.0,knife_pass,76,0,0,0,0,0
0.0,knife_pass,77,0,0,0,0,0
0.0,knife_pass,78,0,0,0,0,0
0.0,knife_pass,79,0,0,0,0,0
0.0,knife_pass,80,0,0,0,0,0
0.0,knife_pass,81,0,0,0,0,0
0.0,knife_pass,82,0,0,0,0,0
0.0,knife_pass,83,0,0,0,0,0
0.0,knife_pass,84,0,0,0,0,0
0.0,knife_pass,85,0,0,0,0,0
0.0,knife_pass,86,0,0,0,0,0
0.0,knife_pass,87,0,0,0,0,0
0.0,knife_pass,88,0,0,0,0,0
0.0,knife_pass,89,0,0,0,0,0
0.0,knife_pass,90,0,0,0,0,0
0.0,knife_pass,91,0,0,0,0,0
0.0,knife_pass,92,0,0,0,0,0
0.0,knife_pass,93,0,0,0,0,0
0.0,knife_pass,94,0,0,0,0,0
0.0,knife_pass,95,0,0,0,0,0
0.0,knife_pass,96,0,0,0,0,0
0.0,knife_pass,97,0,0,0,0,0
0.0,knife_pass,98,0,0,0,0,0
0.0,knife_pass,99,0,0,0,0,0
0.0,knife_pass,100,0,0,0,0,0
0.0,knife_pass,101,0,0,0,0,0
0.0,knife_pass,102,0,0,0,0,0
0.0,knife_pass,103,0,0,0,0,0
0.0,knife_pass,104,0,0,0,0,0
0.0,knife_pass,105,0,0,0,0,0
0.0,knife_pass,106,0,0,0,0,0
0.0,knife_pass,107,0,0,0,0,0
0.0,knife_pass,108,0,0,0,0,0
0.0,knife_pass,109,0,0,0,0,0
0.0,knife_pass,110,0,0,0,0,0
0.0,knife_pass,111,0,0,0,0,0
0.0,knife_pass,112,0,0,0,0,0
0.0,knife_pass,113,0,0,0,0,0
0.0,knife_pass,114,0,0,0,0,0
0.0,knife_pass,115,0,0,0,0,0
0.0,knife_pass,116,0,0,0,0,0
0.0,knife_pass,117,0,0,0,0,0
0.0,knife_pass,118,0,0,0,0,0
0.0,knife_pass,119,0,0,0,0,0
0.0,mug_serve,0,1,1,1,0,0
0.0,mug_serve,1,1,1,1,0,0
0.0,mug_serve,2,1,1,1,0,0
0.0,mug_serve,3,1,1,1,0,0
0.0,mug_serve,4,1,1,1,0,0
0.0,mug_serve,5,1,1,1,0,0
